date,ticker,value
2003-02-07,dow,7864.22998046875
2003-02-10,dow,7920.10986328125
2003-02-11,dow,7843.10986328125
2003-02-12,dow,7758.169921875
2003-02-13,dow,7749.8701171875
2003-02-14,dow,7908.7998046875
2003-02-18,dow,8041.14990234375
2003-02-19,dow,8000.60009765625
2003-02-20,dow,7914.9599609375
2003-02-21,dow,8018.10986328125
2003-02-24,dow,7858.240234375
2003-02-25,dow,7909.5
2003-02-26,dow,7806.97998046875
2003-02-27,dow,7884.990234375
2003-02-28,dow,7891.080078125
2003-03-03,dow,7837.85986328125
2003-03-04,dow,7704.8701171875
2003-03-05,dow,7775.60009765625
2003-03-06,dow,7673.990234375
